WlYyy,cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,ySnDE,dXxty,WlYyy 3,ccVGl,WlYyy 4,ccVGl 2,WlYyy 5,WlYyy 6
61 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,,,,,,,,,,,,,,
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Al-Harbi Transport for Umrah and Hajj,https://www.tripadvisor.com/AttractionProductReview-g295419-d23326347-Jeddah_Airport_to_Makkah_any_Mecca_hotel_Private_Arrival_Transfer-Jeddah_Makkah_Pr.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a4/dc/3b/caption.jpg?w=500&h=400&s=1,Jeddah Airport to Makkah (any Mecca hotel) Private Arrival Transfer,1.,https://www.tripadvisor.com/Attraction_Review-g295419-d23258951-Reviews-Al_Harbi_Transport_for_Umrah_and_Hajj-Jeddah_Makkah_Province.html,1–2 hours,"We are offering you a first-class service with opulent and sanitised vehicle, ensuring you arrive at your precise destination…",Taking safety measures,Free cancellation,from,$99.00,per group,More info,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Hosam Kandil,https://www.tripadvisor.com/AttractionProductReview-g295419-d19952636-Jeddah_City_tour_history_sightseeing_in_center_of_the_city_then_coastal_tour-Jedda.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b1/9f/20/caption.jpg?w=500&h=400&s=1,Jeddah City tour history sightseeing in center of the city then coastal tour,2.,https://www.tripadvisor.com/Attraction_Review-g295419-d19939251-Reviews-Hosam_Kandil-Jeddah_Makkah_Province.html,3+ days,Discover Jeddah city old and new site of jeddah coty and costal walk and cafee as well the rzd sea and optional swimming…,,Free cancellation,from,$135.00,per adult,More info,Ports of Call Tours
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By 88 Destinations,https://www.tripadvisor.com/AttractionProductReview-g295419-d23454476-Jeddah_Old_Town_Tour_Al_Balad-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/ff/77/aa/caption.jpg?w=500&h=400&s=1,Jeddah Old Town Tour (Al Balad),3.,https://www.tripadvisor.com/Attraction_Review-g295419-d23253726-Reviews-88_Destinations-Jeddah_Makkah_Province.html,4 hours,"During this tour you will pass by many shops where they offer different merchandise such as perfumes, cloth, jewellery , …",Taking safety measures,Free cancellation,from,$120.00,per adult,More info,Bus Tours
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Basma Transport & Tours,https://www.tripadvisor.com/AttractionProductReview-g295419-d20320874-Jeddah_Hotel_to_Jeddah_Airport_Private_Departure_Transfer-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/27/c8/93/caption.jpg?w=500&h=400&s=1,Jeddah Hotel to Jeddah Airport Private Departure Transfer,4.,https://www.tripadvisor.com/Attraction_Review-g295419-d20267044-Reviews-Basma_Transport_Tours-Jeddah_Makkah_Province.html,30–45 minutes,"Ensure an easy Departure with Jeddah Hotel to Jeddah Airport Private Departure Transfer. Skip the headache, hassle, and …",Taking safety measures,Free cancellation,from,$84.00,per group,More info,
,,,,,,,,,,,,,,,,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Basma Transport & Tours,https://www.tripadvisor.com/AttractionProductReview-g295419-d20320770-Jeddah_Airport_to_Jeddah_Hotel_Private_Arrival_Transfer-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/27/c8/07/caption.jpg?w=500&h=400&s=1,Jeddah Airport to Jeddah Hotel Private Arrival Transfer,5.,https://www.tripadvisor.com/Attraction_Review-g295419-d20267044-Reviews-Basma_Transport_Tours-Jeddah_Makkah_Province.html,30–45 minutes,"Ensure an easy arrival with Jeddah International Airport Arrival Transfer. Skip the headache, hassle, and expense of finding…",Taking safety measures,Free cancellation,from,$84.00,per group,More info,
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By TOURIST GUIDE AHMAD ALJUAED,https://www.tripadvisor.com/AttractionProductReview-g295419-d19900792-Discover_Jeddah_city-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9d/25/4d/caption.jpg?w=500&h=400&s=1,discover Jeddah city,6.,https://www.tripadvisor.com/Attraction_Review-g298553-d19259014-Reviews-TOURIST_GUIDE_AHMAD_ALJUAED-Taif_Makkah_Province.html,1–4 hours,"tour of historical Jeddah, classified as a World Heritage Site, visiting markets and museums, Drink coffee and tea in traditional…",Taking safety measures,Free cancellation,from,$220.00,per group,More info,Bus Tours
5,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Saudi Arabia Tours,https://www.tripadvisor.com/AttractionProductReview-g295419-d19198934-Jeddah_Historical_and_City_Tour-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/82/eb/41/caption.jpg?w=500&h=400&s=1,Jeddah Historical and City Tour,7.,https://www.tripadvisor.com/Attraction_Review-g295419-d19142250-Reviews-Saudi_Arabia_Tours-Jeddah_Makkah_Province.html,6–7 hours,"Tour Highlights:

Jeddah’s historical downtown area Al-Balad, Beit Nassif, Historical Jeddah north gate, Old Markets, Al…",Taking safety measures,Free cancellation,from,$250.00,per adult,More info,Bus Tours
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,,https://www.tripadvisor.com/AttractionProductReview-g295419-d19965196-Traditional_Jeddah_Tour_Tasting_Historical_Highlights-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b5/17/fe/caption.jpg?w=500&h=400&s=1,Traditional Jeddah Tour:Tasting & Historical Highlights,8.,,5 hours,Jeddah is a very soulful place with plentiful treasures to be discovered by curious explorer. The evening and night hours…,Taking safety measures,Free cancellation,from,$136.42,per adult,More info,Bus Tours
