,Attraction Name,Attraction Type,City,Country
0,,,Mumbai,India
1,Marine Drive,Points of Interest & Landmarks • Scenic Drives,Mumbai,India
2,Bandra-Worli Sea Link,Bridges,Mumbai,India
3,Gateway of India,Points of Interest & Landmarks • Monuments & Statues,Mumbai,India
4,Kanheri Caves,Points of Interest & Landmarks • Caverns & Caves,Mumbai,India
5,Global Vipassana Pagoda,Monuments & Statues,Mumbai,India
6,Shree Siddhivinayak,Religious Sites,Mumbai,India
7,Nariman Point,Neighborhoods,Mumbai,India
8,Elephanta Caves,Points of Interest & Landmarks,Mumbai,India
9,Mani Bhavan Gandhi Museum,History Museums,Mumbai,India
10,Essel World,Amusement & Theme Parks,Mumbai,India
11,Dharavi,Neighborhoods,Mumbai,India
12,Wankhede Stadium,Arenas & Stadiums,Mumbai,India
13,Colaba,Neighborhoods,Mumbai,India
14,Chhatrapati Shivaji Terminus,Historic Sites • Architectural Buildings,Mumbai,India
15,Dhobi Ghat,Points of Interest & Landmarks,Mumbai,India
16,KidZania Mumbai,Amusement & Theme Parks,Mumbai,India
17,Water Kingdom,Water Parks,Mumbai,India
18,Worli Sea Face,Points of Interest & Landmarks,Mumbai,India
19,Viviana Mall,Shopping Malls,Mumbai,India
20,Red Carpet Wax Museum,Speciality Museums • Amusement & Theme Parks,Mumbai,India
21,Colaba Causeway,Points of Interest & Landmarks,Mumbai,India
22,R City Mall,Shopping Malls,Mumbai,India
23,Phoenix Marketcity,Shopping Malls,Mumbai,India
24,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,History Museums,Mumbai,India
25,Mahalakshmi Temple,Religious Sites,Mumbai,India
26,Snow Kingdom,Amusement & Theme Parks,Mumbai,India
27,High Street Phoenix,Shopping Malls,Mumbai,India
28,Mount Mary Basilica,Architectural Buildings • Religious Sites,Mumbai,India
29,Babulnath Temple,Religious Sites,Mumbai,India
30,Juhu Beach,Beaches,Mumbai,India
31,,2,Mumbai,India
32,,1,Mumbai,India
33,Oberoi Mall,Shopping Malls,Mumbai,India
34,Aksa Beach,Beaches,Mumbai,India
35,Sanjay Gandhi National Park,National Parks,Mumbai,India
36,Priyadarshini Park,Parks • Gardens,Mumbai,India
37,Nehru Planetarium,Speciality Museums,Mumbai,India
38,Sri Sri Radha Gopinath Temple,Religious Sites,Mumbai,India
39,Growel's 101 Mall,Shopping Malls,Mumbai,India
40,Deccan Odyssey,Scenic Railroads,Mumbai,India
41,Jain Temple - Mumbai,Religious Sites,Mumbai,India
42,Malabar Hill,Neighborhoods,Mumbai,India
43,Prithvi Theatre,Theaters,Mumbai,India
44,Palladium Mall,Shopping Malls,Mumbai,India
45,Shivaji Park,Parks,Mumbai,India
46,Mahalakshmi Race Course,Horse Tracks,Mumbai,India
47,Crawford Market,Flea & Street Markets,Mumbai,India
48,Jehangir Art Gallery,Art Galleries,Mumbai,India
49,Bombay High Court,Architectural Buildings,Mumbai,India
50,Lokhandwala Market,Flea & Street Markets,Mumbai,India
51,Nehru Science Center,Science Museums,Mumbai,India
52,Infiniti Mall,Shopping Malls,Mumbai,India
53,Ferry to Alibaug,Ferries,Mumbai,India
54,Manori Beach,Beaches,Mumbai,India
55,Sassoon Dock,Points of Interest & Landmarks • Piers & Boardwalks,Mumbai,India
56,Lal Baug Cha Raja,Religious Sites,Mumbai,India
57,Inorbit Mall,Shopping Malls,Mumbai,India
58,Kamala Nehru Park,Parks,Mumbai,India
59,Mumba Devi Temple,Religious Sites,Mumbai,India
60,Churchgate Railway Station,Points of Interest & Landmarks • Architectural Buildings,Mumbai,India
61,Chowpatty Beach,Beaches,Mumbai,India
62,Jogger's Park,Parks,Mumbai,India
63,,1,Mumbai,India
64,Chor Bazaar,Flea & Street Markets,Mumbai,India
65,Willingdon Sports Club,Sports Complexes,Mumbai,India
66,Bandra Fort,Historic Sites,Mumbai,India
67,Gorai Beach,Beaches,Mumbai,India
68,Bhau Daji Lad Museum,Speciality Museums,Mumbai,India
69,Mumbai Zoo (Veermata Jijabai Udyan),Zoos,Mumbai,India
70,Haji Ali Mosque,Points of Interest & Landmarks • Religious Sites,Mumbai,India
71,Aarey Colony,Nature & Wildlife Areas,Mumbai,India
72,Bandstand Promenade,Points of Interest & Landmarks,Mumbai,India
73,Banganga,Religious Sites,Mumbai,India
74,Hanging Gardens (Ferozeshah Mehta),Gardens,Mumbai,India
75,Amarsons Garden,Gardens,Mumbai,India
76,Girgaum Chowpatty,Beaches,Mumbai,India
77,Powai Lake,Bodies of Water,Mumbai,India
78,Sri Sri Radha Rasabihari Ji Temple,Points of Interest & Landmarks,Mumbai,India
79,Jio Garden,Gardens,Mumbai,India
80,Loyalty Lounge,Airport Lounges,Mumbai,India
81,Boot House,Points of Interest & Landmarks,Mumbai,India
82,Taraporewala Aquarium,Aquariums,Mumbai,India
83,St. Thomas Cathedral Mumbai,Architectural Buildings • Religious Sites,Mumbai,India
84,Hedavde Mahalaxmi Temple,Religious Sites,Mumbai,India
85,Rajabai Clock Tower,Points of Interest & Landmarks,Mumbai,India
86,Snow World Mumbai,Amusement & Theme Parks,Mumbai,India
87,Royal Opera House,Operas,Mumbai,India
88,Uttan Beach,Beaches,Mumbai,India
89,Mangaldas Market,Flea & Street Markets,Mumbai,India
90,Andharban,Points of Interest & Landmarks,Mumbai,India
91,Kala Ghoda Art Precinct,Points of Interest & Landmarks,Mumbai,India
92,Maharashtra Nature Park,Parks,Mumbai,India
93,Tejas Express,Public Transportation Systems,Mumbai,India
94,,1,Mumbai,India
95,Raj Bhavan,Points of Interest & Landmarks • Government Buildings,Mumbai,India
96,National Centre for the Performing Arts,Theaters,Mumbai,India
97,Keneseth Eliyahoo Synagogue,Religious Sites,Mumbai,India
98,Nehru Centre,Science Museums,Mumbai,India
99,Versova Beach,Beaches,Mumbai,India
100,Royal Western India Turf Club,Horse Tracks,Mumbai,India
101,Town Hall (Asiatic Society Library),Libraries,Mumbai,India
102,Madh Island,Islands • Beaches,Mumbai,India
103,Mumbai G.P.O,Points of Interest & Landmarks,Mumbai,India
104,Brihanmumbai Municipal Corporation building,Historic Sites • Architectural Buildings,Mumbai,India
105,Matunga Market,Flea & Street Markets,Mumbai,India
106,Vardhman Fantasy,Amusement & Theme Parks,Mumbai,India
107,Ambreshwar Shiva Temple,Religious Sites,Mumbai,India
108,The Great Escape Water Park,Amusement & Theme Parks,Mumbai,India
109,Horniman Circle Garden,Gardens,Mumbai,India
110,Atria Mall,Shopping Malls,Mumbai,India
111,St. Michael's Church,Churches & Cathedrals,Mumbai,India
112,Bhavan's Nature and Adventure Centre,Nature & Wildlife Areas • Parks,Mumbai,India
113,Andheri Market,Flea & Street Markets,Mumbai,India
114,Flora Fountain,Points of Interest & Landmarks • Fountains,Mumbai,India
115,National Gallery of Modern Art,Art Museums,Mumbai,India
116,National Museum of Indian Cinema,Speciality Museums,Mumbai,India
117,Mahatma Jyotiba Phule Market,Points of Interest & Landmarks • Architectural Buildings,Mumbai,India
118,PVR Icon,Theaters,Mumbai,India
119,Thiruchembur Murugan Temple,Religious Sites,Mumbai,India
120,Yazoo Park,Amusement & Theme Parks,Mumbai,India
121,BB Dadar Market,Flea & Street Markets,Mumbai,India
122,Bhandup Pumping Station,Nature & Wildlife Areas,Mumbai,India
123,David Sassoon Library and Reading Room,Architectural Buildings • Libraries,Mumbai,India
124,Mahakali Caves,Caverns & Caves,Mumbai,India
125,,1,Mumbai,India
126,Worli Fort,Points of Interest & Landmarks • Architectural Buildings,Mumbai,India
127,Juhu,Neighborhoods,Mumbai,India
128,Cathedral of the Holy Name,Churches & Cathedrals,Mumbai,India
129,Funky Monkeys Play Center - Andheri,Playgrounds,Mumbai,India
130,Bombay Panjrapole,Nature & Wildlife Areas,Mumbai,India
131,Aviserv Lounge,Airport Lounges,Mumbai,India
132,Little World Mall,Shopping Malls,Mumbai,India
133,Sitladevi Temple,Points of Interest & Landmarks,Mumbai,India
134,K Star Mall,Shopping Malls,Mumbai,India
135,Lalbaug Spice Market,Flea & Street Markets,Mumbai,India
136,Chhota Kashmir,Parks • Playgrounds,Mumbai,India
137,Dadasaheb Phalke Chitranagri,Points of Interest & Landmarks,Mumbai,India
138,Gloria Church,Religious Sites,Mumbai,India
139,Shri Swaminarayan Mandir,Religious Sites,Mumbai,India
140,Magen David Synagogue,Religious Sites,Mumbai,India
141,Sion Hillock Fort,Historic Sites,Mumbai,India
142,Parsi Fire Temple,Points of Interest & Landmarks,Mumbai,India
143,Swami Samarth Temple,Points of Interest & Landmarks,Mumbai,India
144,Hutatma Chowk,Points of Interest & Landmarks • Monuments & Statues,Mumbai,India
145,Goregaon Film city,Points of Interest & Landmarks • Arenas & Stadiums,Mumbai,India
146,Indian Museum Ship (Vikrant),Ships,Mumbai,India
147,Mata Vaishno Devi Divya Dham,Points of Interest & Landmarks,Mumbai,India
148,Neptune Magnet Mall,Shopping Malls,Mumbai,India
149,Khotachiwadi,Historic Sites,Mumbai,India
150,Municipal Laundry,Historic Sites,Mumbai,India
151,Parleshwar Ganpati Mandir,Points of Interest & Landmarks,Mumbai,India
152,Lion Gate,Points of Interest & Landmarks,Mumbai,India
153,Chinmaya Mission,Religious Sites,Mumbai,India
154,St. Andrew's Church,Churches & Cathedrals,Mumbai,India
155,Raghuleela Mega Mall,Shopping Malls,Mumbai,India
156,,1,Mumbai,India
157,Worli Fort,Points of Interest & Landmarks • Architectural Buildings,Mumbai,India
158,Juhu,Neighborhoods,Mumbai,India
159,Cathedral of the Holy Name,Churches & Cathedrals,Mumbai,India
160,Funky Monkeys Play Center - Andheri,Playgrounds,Mumbai,India
161,Bombay Panjrapole,Nature & Wildlife Areas,Mumbai,India
162,,1,Mumbai,India
163,Jogeshwari Caves,Caverns & Caves,Mumbai,India
164,Mangal Sai Dham,Points of Interest & Landmarks,Mumbai,India
165,Sobo Central Mall,Shopping Malls,Mumbai,India
166,Shree Kala Hanuman Temple,Points of Interest & Landmarks,Mumbai,India
167,Juhu Garden,Parks,Mumbai,India
168,Bombay Stock Exchange,Points of Interest & Landmarks,Mumbai,India
169,Mahindra Hockey Stadium,Arenas & Stadiums,Mumbai,India
170,Dana Paani Beach,Beaches,Mumbai,India
171,Bombay Natural History Society,History Museums,Mumbai,India
172,Narmadeshwar Mahadev Mandir,Religious Sites,Mumbai,India
173,Rbi Coin Museum Mumbai,Natural History Museums • Science Museums,Mumbai,India
174,Shree Swami Narayan Temple,Religious Sites,Mumbai,India
175,R Odeon Mall,Shopping Malls,Mumbai,India
176,Orchid City Centre Mall,Shopping Malls,Mumbai,India
177,Aarey Bhaskar Garden,Parks,Mumbai,India
178,Dynamix Mall,Shopping Malls,Mumbai,India
179,Veer Savarkar Udhyan,Parks • Gardens,Mumbai,India
180,Gilbert Hill,Points of Interest & Landmarks,Mumbai,India
181,Suvarna Temple,Religious Sites,Mumbai,India
182,Kwan Kung Temple,Religious Sites,Mumbai,India
183,Hasnabad Dargah,Religious Sites,Mumbai,India
