,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Singapore,Singapore,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/70/0d/caption.jpg?w=500&h=400&s=1,Singapore Sunset Cruise On A Luxury Catamaran,City Tours,3 hours,$82.28,per adult,,By Hello Singapore,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d12498713-Reviews-Hello_Singapore-Singapore.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5b/c3/caption.jpg?w=500&h=400&s=1,Sunset Sail - Dinner Cruise,Sunset Cruises,4 hours,$174.07,per adult,,By The Royal Albatross,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d7682657-Reviews-The_Royal_Albatross-Singapore.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ee/a2/9a/caption.jpg?w=500&h=400&s=1,Experience Singapore: Cultural Cooking Class,Cooking Classes,3 hours,$75.53,per adult,Free cancellation,By Food Playground,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d3573947-Reviews-Food_Playground-Singapore.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/29/77/caption.jpg?w=500&h=400&s=1,Lion City Bike Tour of Singapore,City Tours,4 hours,$61.04,per adult,Free cancellation,By Bike Around Tour,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d13222009-Reviews-Bike_Around_Tour-Singapore.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e2/f0/50/caption.jpg?w=500&h=400&s=1,Trails Of Tan Ah Huat : Singapore 1920s. A storytelling guided bicycle tour!,Bike Tours,4 hours,$75.53,per adult,Free cancellation,By Let's Go Bike,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d3561703-Reviews-Let_s_Go_Bike-Singapore.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/05/3c/56/caption.jpg?w=500&h=400&s=1,Singapore Duck Tour,Bus Tours,1 hour,$30.33,per adult,,By Singapore DUCKtours,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d7336351-Reviews-Singapore_DUCKtours-Singapore.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/e5/a2/caption.jpg?w=500&h=400&s=1,"Singapore's Creepy & Haunted Tour, includes Cemetery visit with licensed Guide",Bus Tours,4 hours,$106.81,per adult,Free cancellation,By Oriental Travel and Tours,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d15657416-Reviews-Oriental_Travel_and_Tours-Singapore.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5b/cb/caption.jpg?w=500&h=400&s=1,City Lights - Dinner Cruise,Sailing,4 hours,$174.07,per adult,,By The Royal Albatross,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d7682657-Reviews-The_Royal_Albatross-Singapore.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/a8/93/caption.jpg?w=500&h=400&s=1,Private Tour: World War II Introduction on Singapore,Bus Tours,6 hours,$373.85,per group,,By RIGHTLANES,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d16720698-Reviews-RIGHTLANES-Singapore.html
10,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/84/68/45/caption.jpg?w=500&h=400&s=1,Batik painting class,Painting Classes,2 hours,$41.96,per adult,Free cancellation,By Kamal Arts,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d12841872-Reviews-Kamal_Arts-Singapore.html
11,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/db/85/caption.jpg?w=500&h=400&s=1,Marina Bay Sands SkyPark Observation Deck Admission Ticket,Skyscrapers & Towers,45–60 minutes,$11.25,per adult,,By GlobalTix Pte Ltd,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html
12,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/27/ca/f2/caption.jpg?w=500&h=400&s=1,Private Singapore Melting Pot of Tea Experience Tour,Walking Tours,3–4 hours,$162.98,per adult,Free cancellation,By Monster Day Tours,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d11983460-Reviews-Monster_Day_Tours-Singapore.html
13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cc/21/68/caption.jpg?w=500&h=400&s=1,UNESCO Hawker Centre Street Food Tasting Tour in 3 Ethnic Neighbourhoods,Public Transportation Tours,4–5 hours,$117.53,per adult,Free cancellation,By Singapore Foodsters,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d8526123-Reviews-Singapore_Foodsters-Singapore.html
14,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8f/1e/a7/caption.jpg?w=500&h=400&s=1,Big Bus Singapore Hop-On Hop-Off Tour,Bus Tours,1 hour,$29.49,per adult,Free cancellation,By Big Bus Tours,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d15584525-Reviews-Big_Bus_Tours-Singapore.html
15,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/b5/b9/fd/caption.jpg?w=500&h=400&s=1,Let's Go Kelong Boat Tour at Pulau Ubin,Power Boats,3 hours,$103.00,per adult,Free cancellation,By Let's Go Tour Singapore,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294264-d21180327-Reviews-Let_s_Go_Tour_Singapore-Sentosa_Island.html
16,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/53/ad/7d/caption.jpg?w=500&h=400&s=1,Pulau Ubin Bike Tour,Adventure Tours,4 hours,$76.30,per adult,Free cancellation,By Bike Around Tour,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d13222009-Reviews-Bike_Around_Tour-Singapore.html
17,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5d/5c/caption.jpg?w=500&h=400&s=1,The 10 Tastings of Singapore With Locals: Private Street Food Tour,Public Transportation Tours,3 hours,$95.16,per adult,Free cancellation,By Withlocals,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d12697774-Reviews-Withlocals-Singapore.html
18,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/59/69/27/caption.jpg?w=500&h=400&s=1,Singapore : Axe Throwing Experience,Walking Tours,60–120 minutes,$25.53,per adult,,By Sightseeing Singapore,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294264-d19894974-Reviews-Sightseeing_Singapore-Sentosa_Island.html
19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/07/30/caption.jpg?w=500&h=400&s=1,Skip the Line: Marina Bay Sands Skypark Observation Deck Ticket,Skyscrapers & Towers,45 minutes,$18.00,per adult,,By MAM Holidays Singapore,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html
20,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b1/cc/c9/caption.jpg?w=500&h=400&s=1,Night Safari,Zoo Tickets & Passes,4 hours,$45.29,per adult,,By GlobalTix Pte Ltd,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html
21,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/b4/46/caption.jpg?w=500&h=400&s=1,Private Singapore Arrival Transfer: Changi Airport to Hotel,,1 hour,$61.04,per group,Free cancellation,By Avenue Link Transport Group,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d10358665-Reviews-Avenue_Link_Transport_Group-Singapore.html
22,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/bf/91/caption.jpg?w=500&h=400&s=1,Historical Singapore Bike Tour,Walking Tours,4 hours,$61.04,per adult,Free cancellation,By Let's Go Bike,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d3561703-Reviews-Let_s_Go_Bike-Singapore.html
23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/a5/e6/d9/caption.jpg?w=500&h=400&s=1,Motion Art Space,Painting Classes,2 hours,$53.26,per group,,By GlobalTix Pte Ltd,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html
24,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/07/1c/caption.jpg?w=500&h=400&s=1,Night Safari Ticket,Zoo Tickets & Passes,3 hours,$47.30,per adult,,By MAM Holidays Singapore,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html
25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4d/97/6d/caption.jpg?w=500&h=400&s=1,Private Michelin Premium Food Tour with Hawker Centre & Chinatown Tour,Walking Tours,3 hours,$83.30,per adult,Free cancellation,By Oriental Travel and Tours,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d15657416-Reviews-Oriental_Travel_and_Tours-Singapore.html
26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c1/09/d5/caption.jpg?w=500&h=400&s=1,"Singapore Discovery (Cruise to Marina South & drop off -St John's,Lazarus&Kusu)",Airboat Tours,6+ hours,$38.40,per adult,,By GlobalTix Pte Ltd,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294264-d20067242-Reviews-GlobalTix_Pte_Ltd-Sentosa_Island.html
27,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/08/0c/caption.jpg?w=500&h=400&s=1,Singapore Cable Car Sky Pass,Skyscrapers & Towers,1 hour,$18.78,per adult,,By MAM Holidays Singapore,Singapore,Singapore,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html
