,Attraction Name,Attraction Type,City,Country
0,,,Jeddah,Saudi Arabia
1,Al-Balad,Historic Sites • Neighborhoods,Jeddah,Saudi Arabia
2,Red Sea Mall,Shopping Malls,Jeddah,Saudi Arabia
3,Jeddah Corniche,Points of Interest & Landmarks,Jeddah,Saudi Arabia
4,King Fahd's Fountain,Fountains,Jeddah,Saudi Arabia
5,Mall of Arabia,Shopping Malls,Jeddah,Saudi Arabia
6,Fakieh Aquarium,Aquariums,Jeddah,Saudi Arabia
7,Al Rahma Mosque,Religious Sites,Jeddah,Saudi Arabia
8,Silver Sands Beach,Beaches,Jeddah,Saudi Arabia
9,Al Salam Mall,Shopping Malls,Jeddah,Saudi Arabia
10,Biet Nassif,Points of Interest & Landmarks,Jeddah,Saudi Arabia
11,Gabel Street Souq,Flea & Street Markets,Jeddah,Saudi Arabia
12,Al Tayebat International City,Speciality Museums,Jeddah,Saudi Arabia
13,Aziz Mall,Shopping Malls,Jeddah,Saudi Arabia
14,Flamingo Mall,Department Stores • Shopping Malls,Jeddah,Saudi Arabia
15,Jeddah Flagpole,Points of Interest & Landmarks,Jeddah,Saudi Arabia
16,Al-Shallal Theme Park,Amusement & Theme Parks,Jeddah,Saudi Arabia
17,Jeddah Water Front Park,Beaches,Jeddah,Saudi Arabia
18,Alandalus Mall,Shopping Malls,Jeddah,Saudi Arabia
19,Makkah Gate,Points of Interest & Landmarks,Jeddah,Saudi Arabia
20,Bicycle Square,Points of Interest & Landmarks,Jeddah,Saudi Arabia
21,haifaa Mall,Shopping Malls,Jeddah,Saudi Arabia
22,Central Fish Market,Farmers Markets,Jeddah,Saudi Arabia
23,Al-Jaffali Mosque,Religious Sites,Jeddah,Saudi Arabia
24,Globe Roundabout,Points of Interest & Landmarks,Jeddah,Saudi Arabia
25,Hassan Enany Mosque,Points of Interest & Landmarks • Historic Walking Areas,Jeddah,Saudi Arabia
26,Khadija Baghlaf Mosque,Religious Sites,Jeddah,Saudi Arabia
27,Heraa International Mall,Shopping Malls,Jeddah,Saudi Arabia
28,Jeddah Lighthouse,Points of Interest & Landmarks,Jeddah,Saudi Arabia
29,Jeddah Summer Festival - Fireworks,Cultural Events,Jeddah,Saudi Arabia
30,King Abdullah Sports City,Sports Complexes,Jeddah,Saudi Arabia
31,,2,Jeddah,Saudi Arabia
32,Roshan Mall,Shopping Malls,Jeddah,Saudi Arabia
33,Vox Cinema,Neighborhoods,Jeddah,Saudi Arabia
34,Athr Gallery,Points of Interest & Landmarks,Jeddah,Saudi Arabia
35,Darat Safeya Bizagr,Art Galleries,Jeddah,Saudi Arabia
36,Corniche Commercial Center,Shopping Malls,Jeddah,Saudi Arabia
37,Jack N Jill,Playgrounds,Jeddah,Saudi Arabia
38,Jeddah Our Days of Bliss Magad Museum,History Museums,Jeddah,Saudi Arabia
39,Hafez Gallery,Art Galleries • Art Museums,Jeddah,Saudi Arabia
40,Gallery One,Points of Interest & Landmarks,Jeddah,Saudi Arabia
